TIME,VALUE,Device ID
528315,2475,1
528335,2467,1
528355,2463,1
528375,2459,1
528395,2473,1
528415,2491,1
528435,2471,1
528455,2475,1
528475,2467,1
528495,2467,1
528515,2471,1
528535,2471,1
528555,2477,1
528575,2467,1
528595,2474,1
528615,2464,1
528635,2465,1
528655,2474,1
528675,2463,1
528695,2468,1
528715,2471,1
528735,2475,1
528755,2471,1
528775,2468,1
528795,2467,1
528815,2478,1
528835,2480,1
528855,2470,1
528875,2471,1
528895,2469,1
528915,2469,1
528945,2471,1
528955,2462,1
528975,2457,1
529015,2459,1
529045,2457,1
529065,2475,1
529095,2466,1
529105,2466,1
529115,2470,1
529125,2453,1
529135,2471,1
529155,2464,1
529175,2470,1
529195,2479,1
529215,2465,1
529235,2466,1
529255,2462,1
529275,2469,1
529295,2459,1
529315,2461,1
529335,2465,1
529355,2470,1
529375,2483,1
529395,2467,1
529415,2471,1
529435,2461,1
529455,2470,1
529475,2467,1
529495,2469,1
529515,2476,1
529535,2469,1
529555,2480,1
529575,2470,1
529595,2472,1
529615,2469,1
529635,2466,1
529655,2464,1
529675,2475,1
529695,2467,1
529715,2469,1
529735,2468,1
529755,2474,1
529775,2469,1
529795,2477,1
529815,2466,1
529835,2471,1
529855,2467,1
529875,2475,1
529895,2478,1
529915,2469,1
529935,2467,1
529955,2469,1
529975,2483,1
529995,2466,1
530015,2467,1
530035,2465,1
530055,2467,1
530075,2473,1
530095,2470,1
530115,2467,1
530135,2466,1
530155,2480,1
530175,2475,1
530195,2471,1
530215,2469,1
530235,2477,1
530255,2463,1
530275,2465,1
530295,2467,1
530315,2459,1
530345,2463,1
530355,2458,1
530375,2459,1
530395,2474,1
530415,2470,1
530435,2465,1
530455,2464,1
530475,2467,1
530495,2467,1
530515,2470,1
530535,2465,1
530555,2479,1
530575,2469,1
530595,2465,1
530615,2470,1
530635,2463,1
530655,2467,1
530675,2469,1
530695,2471,1
530715,2475,1
530735,2470,1
530755,2464,1
530775,2467,1
530795,2469,1
530815,2467,1
530835,2470,1
530855,2469,1
530875,2475,1
530895,2470,1
530915,2475,1
530935,2516,1
530955,2467,1
530975,2473,1
530995,2463,1
531015,2480,1
531035,2475,1
531055,2469,1
531075,2479,1
531095,2471,1
531115,2419,1
531135,2469,1
531155,2473,1
531175,2471,1
531195,2455,1
531215,2469,1
531235,2465,1
531255,2470,1
531275,2465,1
531295,2470,1
531315,2466,1
531335,2455,1
531355,2467,1
531375,2465,1
531405,2495,1
531415,2479,1
531435,2461,1
531455,2445,1
531475,2460,1
531495,2494,1
531515,2483,1
531535,2469,1
531555,2467,1
531575,2469,1
531595,2469,1
531615,2466,1
531635,2469,1
531655,2467,1
531675,2432,1
531695,2472,1
531715,2474,1
531735,2465,1
531755,2467,1
531775,2467,1
531795,2473,1
531815,2458,1
531835,2474,1
531855,2468,1
531875,2466,1
531895,2473,1
531915,2492,1
531935,2475,1
531955,2470,1
531975,2470,1
531995,2467,1
532015,2472,1
532035,2479,1
532055,2451,1
532075,2459,1
532095,2451,1
532115,2519,1
532135,2467,1
532155,2477,1
532175,2477,1
532195,2469,1
532215,2484,1
532235,2469,1
532255,2469,1
532275,2467,1
532295,2475,1
532315,2471,1
532335,2475,1
532355,2460,1
532375,2480,1
532395,2459,1
532415,2463,1
532435,2471,1
532455,2469,1
532475,2459,1
532495,2466,1
532515,2474,1
532535,2471,1
532555,2480,1
532575,2453,1
532595,2471,1
532615,2469,1
532635,2463,1
532655,2465,1
532675,2471,1
532695,2470,1
532715,2469,1
532735,2463,1
532755,2472,1
532775,2454,1
532795,2467,1
532815,2462,1
532835,2465,1
532855,2467,1
532875,2467,1
532895,2467,1
532915,2460,1
532935,2474,1
532955,2466,1
532975,2461,1
532995,2466,1
533015,2471,1
533035,2469,1
533055,2473,1
533075,2468,1
533095,2465,1
533115,2480,1
533155,2467,1
533185,2466,1
533205,2459,1
533225,2482,1
533245,2461,1
533265,2464,1
533275,2462,1
533285,2460,1
533295,2481,1
533315,2458,1
533335,2480,1
533355,2467,1
533375,2464,1
533395,2469,1
533415,2467,1
533435,2467,1
533455,2460,1
533475,2459,1
533495,2461,1
533515,2462,1
533535,2463,1
533555,2473,1
533575,2477,1
533595,2466,1
533615,2475,1
533635,2459,1
533655,2471,1
533675,2463,1
533695,2467,1
533715,2467,1
533735,2459,1
533755,2466,1
533775,2469,1
533795,2464,1
533815,2466,1
533835,2467,1
533855,2469,1
533875,2466,1
533895,2461,1
533915,2475,1
533935,2468,1
533955,2466,1
533975,2468,1
533995,2481,1
534015,2468,1
534035,2471,1
534055,2466,1
534075,2472,1
534095,2470,1
534115,2467,1
534135,2477,1
534155,2478,1
534175,2467,1
534195,2469,1
534215,2468,1
534235,2471,1
534255,2469,1
534275,2470,1
